-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,19,19,19,19,1,1,1,1,1,1,1,2,-1
-1,6,7,7,7,7,4,13,5,7,7,7,7,7,4,13,13,13,13,5,7,8,-1,-1,-1,-1,-1,6,7,7,7,7,7,7,8,-1
-1,6,7,7,4,13,14,-1,6,7,7,7,7,7,8,-1,-1,-1,-1,12,5,8,-1,-1,0,1,1,11,7,7,7,4,13,5,8,-1
-1,6,7,4,14,-1,-1,-1,6,7,7,7,7,7,10,1,1,2,-1,-1,6,8,-1,0,11,7,4,13,5,7,7,8,-1,6,8,-1
-1,6,7,8,-1,-1,0,1,11,7,7,7,4,13,13,5,7,10,2,-1,6,8,-1,6,7,7,8,-1,6,7,7,10,1,11,8,-1
-1,6,7,10,1,1,11,7,7,7,7,7,8,-1,-1,6,7,7,8,-1,6,8,-1,6,7,4,14,-1,6,7,7,7,7,7,8,-1
-1,6,7,7,7,7,7,7,4,13,5,7,8,-1,-1,6,7,7,10,1,11,10,1,11,7,8,-1,-1,6,7,7,7,7,7,8,-1
-1,6,7,7,7,7,7,7,8,-1,6,7,10,1,1,11,7,7,7,7,7,7,7,7,7,10,1,1,11,7,7,7,7,7,8,-1
-1,6,7,7,7,7,7,7,10,1,11,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,-1
-1,6,7,7,7,7,7,7,7,7,7,7,7,4,13,13,5,7,7,4,13,5,7,7,7,4,13,13,5,7,7,7,7,7,8,-1
-1,6,7,7,7,7,7,7,7,7,7,7,7,8,-1,-1,6,7,7,8,-1,6,7,7,7,8,-1,-1,6,7,7,7,7,7,8,-1
-1,6,7,7,7,7,7,7,7,7,7,7,7,8,-1,0,11,7,7,8,-1,6,7,7,7,8,-1,-1,6,7,7,7,7,7,8,-1
-1,6,7,7,4,13,5,7,7,7,7,7,7,8,-1,6,7,7,7,10,1,11,7,7,7,10,1,1,11,7,7,7,7,7,8,-1
-1,6,7,7,8,-1,6,7,7,7,7,7,4,14,-1,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,-1
-1,6,7,7,8,-1,6,7,7,7,7,7,8,-1,-1,6,7,7,7,7,7,7,7,7,4,13,5,7,7,7,7,7,7,7,8,-1
-1,6,7,7,8,-1,6,7,7,7,7,7,10,1,1,11,7,7,4,13,13,5,7,7,8,-1,6,7,7,7,7,7,7,7,8,-1
-1,6,7,7,8,-1,12,13,5,7,7,7,7,7,7,7,7,7,8,-1,-1,6,7,7,10,1,11,7,7,7,7,7,7,7,8,-1
-1,6,7,7,8,-1,-1,-1,6,7,7,7,7,7,7,7,7,7,10,2,-1,6,7,7,7,7,7,7,7,4,13,5,7,7,8,-1
-1,6,7,7,10,1,2,-1,12,5,7,7,7,7,7,7,7,7,4,14,-1,6,7,7,7,7,7,7,4,14,-1,6,7,7,8,-1
-1,6,7,7,7,7,8,-1,-1,6,7,7,7,7,7,7,7,7,8,-1,-1,6,7,7,7,7,7,4,14,-1,-1,6,7,7,8,-1
-1,6,7,7,7,7,10,2,-1,6,7,7,7,7,7,7,7,7,8,-1,0,11,7,7,7,7,7,8,-1,-1,-1,6,7,7,8,-1
-1,6,7,7,7,7,7,10,1,11,7,7,7,7,7,7,7,7,10,1,11,7,7,7,7,7,7,10,1,1,1,11,7,7,8,-1
-1,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,-1
-1,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,-1
-1,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
